Name,Latitude (Decimal degree),Longitude (Decimal degree),Track,Approx Track location    (km +50m),IRV Channel which measured location,Track Features,Units of data,Recent Hit Rate %,Severity,Recent Max,Recent Average,Getting Worse?,Days S1
3.307,-21.27011111,118.80725000,MAINLINE,107.769,SF Accel East,IRJ,g,0.09,3,12.4,6.7,No,No Trend
3.308,-21.27041667,118.80747222,MAINLINE,107.811,SF Accel West,"POS, IRJ",g,0.27,3,14.3,5.9,No,No Trend
3.309,-21.27041667,118.80747222,MAINLINE,107.811,SF Accel East,"POS, IRJ",g,0.18,3,13,7.9,No,No Trend
3.31,-21.27083333,118.80769444,MAINLINE,107.861,SF Accel West,"IRJ, POS",g,0.36,3,13.3,7.2,No,No Trend
3.311,-21.27083333,118.80769444,MAINLINE,107.861,SF Accel East,"IRJ, POS",g,0.05,3,11.9,5,No,No Trend
3.312,-21.27125000,118.80788889,MAINLINE,107.911,SF Accel West,POS,g,0.23,3,10.7,7.4,No,No Trend
3.313,-21.27133333,118.80783333,MAINLINE,107.919,SF Accel West,POS,g,0.17,3,18.7,6.9,No,No Trend
3.314,-21.27133333,118.80783333,MAINLINE,107.919,SF Accel East,POS,g,0.12,3,14.1,5.2,No,No Trend
3.315,-21.27166667,118.80808333,MAINLINE,107.961,SF Accel West,,g,0.05,3,10,2.7,No,No Trend
3.316,-21.27175000,118.80805556,MAINLINE,107.969,SF Accel West,"POS, IRJ",g,0.83,3,21,15,No,No Trend
3.317,-21.27175000,118.80805556,MAINLINE,107.969,SF Accel East,"POS, IRJ",g,0.92,3,20.9,15.1,No,No Trend
3.318,-21.27208333,118.80827778,MAINLINE,108.011,SF Accel West,IRJ,g,0.95,3,24.1,13.9,No,No Trend
